['休宁', '29℃']
['蛟河', '8℃']
['武汉', '24℃']
['根河', '5℃']
['井陉', '16℃']
['闵行', '25℃']
['襄阳', '19℃']
['安仁', '32℃']
['英德', '30℃']
['宁远', '32℃']
['大通', '15℃']
['乐安', '33℃']
['新蔡', '16℃']
['兴宁', '31℃']
['青阳', '26℃']
['港口', '31℃']
['井冈山', '30℃']
['塔河', '9℃']
['丰城', '33℃']
['汉沽', '14℃']
['沈阳铁西', '11℃']
['庄浪', '14℃']
['大丰', '20℃']
['洞口', '29℃']
['潮阳', '31℃']
['汉寿', '28℃']
['秭归', '18℃']
['舞阳', '14℃']
['徐水', '17℃']
['积石山', '12℃']
['雁山', '33℃']
['武陟', '15℃']
['博野', '16℃']
['咸宁', '28℃']
['细河', '10℃']
['馆陶', '17℃']
['下陆', '29℃']
['通河', '9℃']
['蒸湘', '31℃']
['沙河口', '14℃']
['常州', '22℃']
['五原', '10℃']
['夷陵', '24℃']
['沈北', '11℃']
['拜泉', '10℃']
['鄱阳', '31℃']
['南明', '22℃']
['临河', '10℃']
['应城', '22℃']
['洪江', '29℃']
['龙州', '16℃']
['双桥', '14℃']
['汪清', '10℃']
['献县', '17℃']
['红岗', '14℃']
['永顺', '27℃']
['高邑', '16℃']
['涪陵', '22℃']
['竞秀', '17℃']
['鄂托克前', '10℃']
['石家庄', '16℃']
['徐汇', '24℃']
['睢县', '15℃']
['樊城', '19℃']
['涞源', '11℃']
['南平', '33℃']
['双阳', '12℃']
['无为', '27℃']
['翠峦', '9℃']
['泰兴', '21℃']
['道真', '21℃']
['青山', '11℃']
['潮州', '32℃']
['兴化', '19℃']
['回民', '10℃']
['正定', '16℃']
['乳源', '31℃']
['沭阳', '18℃']
['宛城', '14℃']
['鹤岗', '10℃']
['泰和', '35℃']
['渝北', '21℃']
['城子河', '9℃']
['包河', '20℃']
['曾都', '17℃']
['三明', '34℃']
['太子河', '12℃']
['海兴', '17℃']
['定远', '18℃']
['兰考', '15℃']
['崇安', '23℃']
['卓尼', '11℃']
['龙文', '31℃']
['云霄', '31℃']
['涟水', '17℃']
['山阳', '16℃']
['淅川', '16℃']
['津南', '15℃']
['瀍河回族', '12℃']
['黄冈', '29℃']
['尤溪', '32℃']
['老河口', '21℃']
['东丰', '9℃']
['安阳', '16℃']
['福绵', '30℃']
['阜阳', '17℃']
['池州', '23℃']
['包头', '11℃']
['五常', '11℃']
['四平', '12℃']
['辽中', '13℃']
['老边', '13℃']
{'exc_type': 'IndexError', 'exc_message': ['list index out of range'], 'exc_module': 'builtins'}
['新会', '31℃']
['泗阳', '17℃']
['广平', '15℃']
['崇明', '23℃']
['荥阳', '14℃']
['香坊', '11℃']
['婺源', '31℃']
['宿迁', '17℃']
['盘县', '19℃']
['大安', '14℃']
['建阳', '31℃']
['石城', '33℃']
['昌图', '11℃']
['黟县', '29℃']
['瑶海', '20℃']
['西城', '16℃']
['台安', '13℃']
['武强', '16℃']
['大兴', '17℃']
['清河门', '14℃']
['庐江', '26℃']
['高台', '12℃']
['甘南', '12℃']
['廊坊', '17℃']
['晋安', '31℃']
['南靖', '29℃']
['怀集', '31℃']
['澄海', '31℃']
['泸溪', '27℃']
['和县', '25℃']
['博爱', '15℃']
['正宁', '12℃']
['来凤', '24℃']
['桂阳', '32℃']
['乾安', '12℃']
['崇左', '29℃']
['于洪', '11℃']
['泰来', '12℃']
['宁明', '16℃']
['额尔古纳', '8℃']
['那仁宝力格', '7℃']
['铜仁', '29℃']
['高阳', '17℃']
['元宝', '13℃']
['猇亭', '19℃']
['铁岭', '12℃']
['柏乡', '17℃']
['红花岗', '22℃']
['西丰', '11℃']
['丰润', '17℃']
['密山', '10℃']
['武安', '16℃']
['岗子', '10℃']
['邯郸', '17℃']
['万载', '32℃']
['加格达奇', '10℃']
['湖口', '29℃']
['驻马店', '14℃']
['美溪', '8℃']
['义县', '14℃']
['郑州', '14℃']
['天元', '29℃']
['湘阴', '28℃']
['镇宁', '21℃']
['九华山', '21℃']
['竹山', '15℃']
['巴彦淖尔', '11℃']
['平顶山', '13℃']
['纳雍', '21℃']
['丰台', '16℃']
['太平', '10℃']
['张掖', '13℃']
['修水', '30℃']
['项城', '15℃']
['襄州', '19℃']
['东光', '17℃']
['平乐', '16℃']
['贺州', '30℃']
['泊头', '17℃']
['卧龙', '14℃']
['满都拉', '8℃']
['天柱', '30℃']
['兴山', '22℃']
['浮梁', '34℃']
['铜陵', '26℃']
['江北', '21℃']
['都安', '31℃']
['中原', '14℃']
['苏州', '24℃']
['龙城', '13℃']
['怀柔', '16℃']
['杭锦旗', '13℃']
['井陉矿', '16℃']
['全椒', '25℃']
['桦南', '10℃']
['天等', '16℃']
['吴江', '25℃']
['吉兰泰', '13℃']
['丰宁', '10℃']
['霞山', '31℃']
['铅山', '33℃']
['陕县', '13℃']
['九原', '13℃']
['当涂', '26℃']
['迁安', '17℃']
['乌前旗', '13℃']
['崇仁', '34℃']
['上甘岭', '8℃']
['前郭', '12℃']
['赵县', '17℃']
['开封', '14℃']
['泉州', '33℃']
['永州', '31℃']
['武山', '14℃']
['嵩县', '12℃']
['丰县', '17℃']
['汨罗', '28℃']
['白塔', '12℃']
['萝北', '10℃']
['道外', '11℃']
['阳西', '31℃']
['星子', '25℃']
['大冶', '30℃']
['确山', '14℃']
['南安', '30℃']
['成县', '16℃']
['汕头', '31℃']
['恭城瑶族', '33℃']
['鹤峰', '24℃']
['昆都仑', '11℃']
['永丰', '35℃']
['巢湖', '25℃']
['宽甸', '10℃']
['伊春区', '9℃']
['银海', '32℃']
['睢阳', '16℃']
['吉首', '28℃']
['东兴', '31℃']
['彭水', '24℃']
['桃山', '9℃']
['延寿', '11℃']
{'exc_type': 'IndexError', 'exc_message': ['list index out of range'], 'exc_module': 'builtins'}
['合作', '8℃']
['本溪满族', '12℃']
['榕江', '29℃']
['滁州', '25℃']
['虎林', '11℃']
['牙克石', '8℃']
['梅里斯达斡尔族', '13℃']
['开福', '29℃']
['大渡口', '23℃']
['合浦', '32℃']
['江海', '31℃']
['那坡', '16℃']
['阜平', '15℃']
['黄山风景', '16℃']
['高明', '30℃']
['钦州', '32℃']
['伊金霍洛', '10℃']
['方城', '13℃']
['肃北', '13℃']
['舒城', '24℃']
['沈阳', '11℃']
['博望', '23℃']
['陇西', '13℃']
['临潭', '11℃']
['松滋', '27℃']
['沧浪', '24℃']
['华容', '27℃']
['香洲', '31℃']
['浚县', '15℃']
{'exc_type': 'IndexError', 'exc_message': ['list index out of range'], 'exc_module': 'builtins'}
['团风', '28℃']
['栖霞', '18℃']
['屯溪', '28℃']
['扬中', '20℃']
['神农架', '22℃']
['雄县', '17℃']
['象州', '16℃']
['鄂州', '28℃']
['阜宁', '18℃']
['东山', '31℃']
['广州', '31℃']
['海棠', '31℃']
['赤水', '22℃']
['平乡', '16℃']
['宜昌', '17℃']
['博罗', '31℃']
['连山', '31℃']
['郸城', '16℃']
['望江', '27℃']
['汝城', '29℃']
['通道', '28℃']
['长白', '6℃']
['钟山', '18℃']
['上海', '24℃']
['松江', '25℃']
['桐城', '26℃']
['柘荣', '28℃']
['运河', '17℃']
['蓟州', '13℃']
['如东', '20℃']
['嘉峪关', '9℃']
['南岔', '11℃']
['金山屯', '10℃']
['姜堰', '21℃']
['徐家汇', '24℃']
{'exc_type': 'IndexError', 'exc_message': ['list index out of range'], 'exc_module': 'builtins'}
['衡东', '28℃']
['临桂', '32℃']
['安宁', '15℃']
['东方', '30℃']
['北流', '30℃']
['蕲春', '28℃']
['花垣', '26℃']
['丹东', '13℃']
['宜黄', '33℃']
['铜官', '26℃']
['汤旺河', '9℃']
['靖远', '16℃']
['恒山', '9℃']
['姑苏', '24℃']
['霍山', '23℃']
['建昌', '12℃']
['普兰店', '13℃']
['巫山', '24℃']
['北海', '32℃']
['甘州', '13℃']
['海门', '22℃']
['五营', '8℃']
['贵溪', '33℃']
['甘南州', '8℃']
['前进', '25℃']
['萍乡', '31℃']
['盘锦', '13℃']
['西秀', '20℃']
['贵定', '25℃']
['六枝', '20℃']
['蒙山', '16℃']
['铜鼓', '33℃']
['玉门', '9℃']
['栾川', '11℃']
['牡丹江', '10℃']
['宁江', '11℃']
['民勤', '14℃']
['双鸭山', '10℃']
['雷州', '31℃']
['宽城', '10℃']
['金平', '32℃']
['登封', '11℃']
['安平', '17℃']
['番禺', '31℃']
['昌邑', '10℃']
['广昌', '33℃']
['柳城', '16℃']
['仙桃', '25℃']
['宁化', '31℃']
['溆浦', '27℃']
['凌云', '28℃']
['太湖', '26℃']
['泉山', '18℃']
['宜章', '32℃']
['海拉尔', '8℃']
['五河', '17℃']
['裕华', '16℃']
['斗门', '32℃']
['明溪', '29℃']
['平和', '29℃']
['佳木斯', '11℃']
['扶余', '10℃']
['宁安', '10℃']
['南和', '16℃']
['酉阳', '24℃']
['新抚', '10℃']
['木兰', '10℃']
['黄浦', '24℃']
['西林', '25℃']
['四会', '31℃']
['花山', '21℃']
['喀喇沁', '11℃']
['陆川', '16℃']
['梅江', '30℃']
['广水', '19℃']
['鹰潭', '33℃']
['万年', '32℃']
['石台', '27℃']
['浈江', '31℃']
['永川', '22℃']
['连云', '18℃']
['都昌', '30℃']
['鸡冠', '9℃']
['原阳', '15℃']
['颍州', '17℃']
['相城', '24℃']
['康巴什', '10℃']
['宜丰', '34℃']
['绥宁', '30℃']
['内丘', '17℃']
['武鸣', '31℃']
['和政', '10℃']
['鹿邑', '15℃']
['君山', '27℃']
['珲春', '12℃']
['海淀', '16℃']
['海伦', '9℃']
['洪湖', '28℃']
['抚顺', '10℃']
['孟津', '12℃']
['碧江', '29℃']
['图们', '12℃']
['防城港', '31℃']
['邢台', '16℃']
['罗湖', '31℃']
['汇川', '22℃']
['通州', '21℃']
['崇川', '21℃']
['让胡路', '14℃']
['儋州', '30℃']
['鄂托克', '10℃']
['荷塘', '29℃']
['观山湖', '22℃']
['浦北', '31℃']
['鹿寨', '16℃']
['坡头', '31℃']
['翁牛特', '13℃']
['漳平', '31℃']
['蔡甸', '24℃']
['崖州', '31℃']
['京山', '25℃']
['清城', '31℃']
['浉河', '17℃']
['邕宁', '31℃']
['芜湖', '27℃']
['庆安', '11℃']
['上林', '16℃']
['蜀山', '20℃']
['江永', '31℃']
['宝应', '17℃']
['新宾', '10℃']
['承德', '14℃']
['土右旗', '11℃']
['沧州新华', '17℃']
['南宫', '17℃']
['石峰', '29℃']
['铁岭', '12℃']
['麻章', '31℃']
['利川', '20℃']
['涟源', '27℃']
['吉安', '35℃']
['邯山', '17℃']
['迭部', '14℃']
['道里', '11℃']
['双塔', '13℃']
['南漳', '16℃']
['楚州', '17℃']
{'exc_type': 'IndexError', 'exc_message': ['list index out of range'], 'exc_module': 'builtins'}
['迎江', '23℃']
['铁山', '29℃']
['扶绥', '16℃']
['炎陵', '31℃']
['巴林左旗', '12℃']
['东海', '17℃']
['海陵', '20℃']
['北湖', '33℃']
['武陵源', '25℃']
['韶山', '26℃']
['惠济', '14℃']
['长安', '16℃']
['长乐', '30℃']
['永城', '16℃']
['千山', '12℃']
['高州', '32℃']
['奉节', '25℃']
['通城', '29℃']
['辽源', '10℃']
['罗定', '30℃']
['安庆', '23℃']
['肥乡', '16℃']
['东兰', '16℃']
['孪井滩', '9℃']
['阳明', '10℃']
['广宁', '31℃']
['潜山', '27℃']
['杭锦后旗', '11℃']
['峡江', '34℃']
['文县', '19℃']
['遂平', '14℃']
['泾县', '26℃']
['凤山', '16℃']
['希拉穆', '7℃']
['鼓楼', '21℃']
['延吉', '10℃']
['银州区', '12℃']
['信宜', '31℃']
['三门峡', '13℃']
['爱辉', '10℃']
['施秉', '28℃']
['凭祥', '28℃']
['鄂伦春', '10℃']
['麻阳', '28℃']
['高港', '20℃']
['瓮安', '25℃']
['连云港海州', '18℃']
['呼市', '10℃']
['白城', '14℃']
['宿州', '17℃']
['宣城', '25℃']
['石首', '27℃']
['建湖', '18℃']
['桑植', '23℃']
['六安', '23℃']
['碌曲', '8℃']
['金川', '10℃']
['防城', '31℃']
['蒙城', '17℃']
['宝山', '23℃']
['沙市', '21℃']
['平南', '30℃']
['清新', '31℃']
['曲江', '31℃']
['巫溪', '24℃']
['河东', '15℃']
['海州', '10℃']
['云浮', '31℃']
['常宁', '31℃']
['清原', '11℃']
['乐东黎族', '31℃']
['涵江', '32℃']
['梅列', '34℃']
['定南', '32℃']
['平泉', '11℃']
['白银', '14℃']
['兰州', '15℃']
['灌阳', '16℃']
['南通', '21℃']
['龙华', '30℃']
['耒阳', '31℃']
['惠水', '23℃']
['潘集', '14℃']
['尚义', '6℃']
['禹王台', '14℃']
['绥中', '15℃']
['云安', '31℃']
['京口', '20℃']
['鲁山', '13℃']
['临川', '33℃']
['龙凤', '14℃']
['复兴', '17℃']
['港南', '30℃']
['仙游', '29℃']
['白山', '9℃']
['麻山', '9℃']
{'exc_type': 'IndexError', 'exc_message': ['list index out of range'], 'exc_module': 'builtins'}
['兴安', '10℃']
['丰顺', '30℃']
['安图', '9℃']
['东昌', '10℃']
['茂南', '32℃']
['路北', '17℃']
['保定', '17℃']
['房山', '18℃']
['绥棱', '9℃']
['兴义', '21℃']
['连南', '31℃']
['栾城', '17℃']
['云龙', '18℃']
['万秀', '31℃']
['田林', '16℃']
['孟村', '17℃']
['林甸', '12℃']
['黄石港', '29℃']
['思明', '31℃']
['黄梅', '29℃']
['乌审', '12℃']
['惠城', '31℃']
['宾县', '10℃']
['岳阳', '26℃']
['平凉', '14℃']
['新田', '32℃']
['通化', '10℃']
['兴宾', '31℃']
['钓鱼岛', '31℃']
['偃师', '12℃']
['樟树', '33℃']
['马鞍山', '21℃']
['云岩', '22℃']
['滑县', '15℃']
['龙胜各族', '31℃']
['唐海', '16℃']
['红星', '8℃']
['鹰手营子矿', '13℃']
['湘乡', '27℃']
['桂东', '31℃']
['中山', '30℃']
['淮滨', '18℃']
['依安', '10℃']
['西工', '12℃']
['巩义', '13℃']
['崇阳', '29℃']
['惠山', '23℃']
['建平', '11℃']
['甘谷', '15℃']
['株洲', '29℃']
['桐梓', '21℃']
['鸡泽', '17℃']
['洋浦', '30℃']
['醴陵', '30℃']
['海沧', '31℃']
['武川', '7℃']
['饶河', '8℃']
['阿旗', '12℃']
['湘西', '16℃']
['长春', '10℃']
['景泰', '15℃']
['桓仁', '10℃']
['房县', '17℃']
['永泰', '29℃']
['巴彦', '10℃']
['寻乌', '32℃']
['松原', '11℃']
['辰溪', '27℃']
['铜陵', '26℃']
['相山', '15℃']
['瑞昌', '29℃']
['富川', '30℃']
['邳州', '18℃']
['双牌', '32℃']
['民乐', '10℃']
['定兴', '18℃']
['凯里', '28℃']
['西固', '15℃']
['白云', '21℃']
['德兴', '32℃']
['三穗', '27℃']
['易县', '18℃']
['汤原', '11℃']
['贵阳白云', '31℃']
['柳河', '8℃']
['伊川', '12℃']
['通许', '15℃']
['宿城', '17℃']
['钟山', '32℃']
['上杭', '30℃']
['居巢', '25℃']
['芦溪', '31℃']
['锦屏', '30℃']
['通渭', '14℃']
['章贡', '34℃']
['青秀', '31℃']
['连州', '31℃']
['织金', '20℃']
['乌马河', '9℃']
['和平', '31℃']
['新邱', '10℃']
['延平', '33℃']
['崇礼', '10℃']
['玉田', '17℃']
['东莞', '31℃']
['昂昂溪', '13℃']
['周宁', '25℃']
['双辽', '12℃']
['安远', '33℃']
['邵东', '31℃']
['颍泉', '18℃']
['枝江', '26℃']
['隆回', '30℃']
['戚墅堰', '22℃']
['富锦', '11℃']
['孝南', '23℃']
['湛河', '13℃']
['常德', '28℃']
['龙南', '32℃']
{'exc_type': 'IndexError', 'exc_message': ['list index out of range'], 'exc_module': 'builtins'}
['玉泉', '12℃']
['郏县', '13℃']
['沙河', '17℃']
['霞浦', '29℃']
['关岭', '22℃']
['公主岭', '12℃']
{'exc_type': 'IndexError', 'exc_message': ['list index out of range'], 'exc_module': 'builtins'}
['珠晖', '31℃']
['礼县', '14℃']
['本溪', '11℃']
['襄城', '13℃']
['天水', '15℃']
['南芬', '11℃']
['静安', '24℃']
['岳麓', '29℃']
['明水', '11℃']
['尉氏', '15℃']
['林西', '10℃']
['琼山', '30℃']
['龙岗', '31℃']
['肇州', '12℃']
['荔湾', '31℃']
['永定', '30℃']
['沛县', '18℃']
['余干', '31℃']
['南市', '17℃']
['新兴', '31℃']
['嘉定', '23℃']
['鸡西', '9℃']
['南沙岛', '27℃']
['罗甸', '26℃']
['宝安', '31℃']
['八步', '30℃']
['吉利', '12℃']
['南关', '10℃']
['许昌', '13℃']
['东乡族', '34℃']
['磁县', '17℃']
['兴仁', '20℃']
['陕州', '13℃']
['中牟', '13℃']
['铁西', '12℃']
['仓山', '31℃']
['泌阳', '14℃']
['石景山', '16℃']
['乌斯太', '10℃']
['曲周', '18℃']
['长寿', '22℃']
['天门', '26℃']
['康乐', '11℃']
['大东', '11℃']
['绩溪', '28℃']
['龙山', '23℃']
['合川', '22℃']
['武都', '19℃']
['会昌', '32℃']
['石龙', '13℃']
['南康', '34℃']
['七台河', '9℃']
['义马', '12℃']
['孝昌', '23℃']
['茂港', '32℃']
['景德镇', '34℃']
['武邑', '17℃']
['垫江', '22℃']
['玉屏', '28℃']
['如皋', '21℃']
['涿鹿', '11℃']
['高淳', '23℃']
['湖滨', '13℃']
['颍上', '17℃']
['信州', '33℃']
['阳新', '28℃']
['始兴', '31℃']
['美兰', '30℃']
['岭东', '10℃']
['泰宁', '32℃']
['怀远', '18℃']
['洛宁', '12℃']
['闽清', '31℃']
['集安', '12℃']
['虹口', '24℃']
['吉安', '35℃']
['三水', '31℃']
['正安', '20℃']
['凤台', '17℃']
['小河', '22℃']
['定西', '12℃']
['新民', '13℃']
['金寨', '23℃']
['西岗', '14℃']
['天河', '31℃']
['迁西', '16℃']
['浠水', '27℃']
['新野', '14℃']
['田家庵', '15℃']
['秦淮', '21℃']
['揭西', '31℃']
['重庆', '21℃']
['晋州', '17℃']
['台江', '31℃']
['东乡', '10℃']
['仁化', '32℃']
['分宜', '34℃']
['徐闻', '31℃']
['京唐港', '17℃']
['荆州', '26℃']
['灵寿', '16℃']
['镇平', '14℃']
['徽县', '15℃']
['青浦', '24℃']
['静海', '15℃']
['万全', '10℃']
['两当', '16℃']
['英山', '25℃']
['大洼', '13℃']
['珠山', '34℃']
['沿河', '23℃']
['肃宁', '17℃']
['晴隆', '19℃']
['江陵', '26℃']
['舒兰', '10℃']
['息县', '18℃']
['黔西南', '21℃']
['秀屿港', '32℃']
['大兴安岭', '10℃']
['芗城', '31℃']
['合山', '31℃']
['宝坻', '14℃']
['庆阳', '14℃']
['南票', '14℃']
['阜城', '16℃']
['响水', '19℃']
['克山', '9℃']
['依兰', '9℃']
['秦州', '15℃']
['信丰', '33℃']
['浦东', '25℃']
['雨湖', '25℃']
['三河', '16℃']
['清远', '31℃']
['安福', '34℃']
['陈巴尔虎旗', '10℃']
['凤阳', '19℃']
['延边朝鲜族', '10℃']
['殷都', '16℃']
['临城', '17℃']
['忠县', '23℃']
['柳北', '30℃']
['平潭', '29℃']
['共青城', '30℃']
['蚌埠', '14℃']
['荆州', '26℃']
['丰满', '10℃']
['岳西', '23℃']
['浔阳', '24℃']
['潢川', '18℃']
['遂川', '34℃']
['龙里', '24℃']
['威县', '16℃']
['贵阳', '21℃']
['黑河', '10℃']
['卫滨', '15℃']
['太康', '15℃']
['同安', '31℃']
['集美', '31℃']
['丛台', '17℃']
['南城', '33℃']
['信阳', '17℃']
['北安', '10℃']
['台山', '31℃']
['文昌', '30℃']
['金沙', '23℃']
['谯城', '14℃']
['榆中', '13℃']
['潜江', '28℃']
['远安', '23℃']
['广陵', '20℃']
['拐子湖', '27℃']
['安乡', '29℃']
['徐州鼓楼', '18℃']
['友谊', '10℃']
['长泰', '31℃']
['彭泽', '28℃']
['宜阳', '12℃']
['北京', '16℃']
['江源', '9℃']
['逊克', '10℃']
['宾阳', '16℃']
['顺德', '31℃']
['友好', '9℃']
['源汇', '13℃']
['常熟', '23℃']
['蔚县', '10℃']
['金坛', '21℃']
['平桥', '17℃']
['荣昌', '22℃']
['克东', '10℃']
['宁县', '13℃']
['建华', '13℃']
['嘉荫', '9℃']
['云阳', '24℃']
['叠彩', '33℃']
['肇源', '12℃']
['丰都', '25℃']
['寿县', '19℃']
['海林', '9℃']
['八道江', '12℃']
['嘉鱼', '29℃']
['攸县', '31℃']
['新干', '34℃']
['靖安', '33℃']
['新浦', '18℃']
['藁城', '17℃']
['伊春', '9℃']
['芙蓉', '29℃']
['勃利', '9℃']
['陆丰', '32℃']
['尖山', '10℃']
['无极', '17℃']
['金塔', '12℃']
['麻江', '23℃']
['元宝山', '11℃']
['咸丰', '22℃']
['头道湖', '10℃']
['内乡', '16℃']
['灵山', '16℃']
['遵化', '17℃']
['镇原', '14℃']
['宁陵', '15℃']
['满城', '17℃']
['西华', '15℃']
['武平', '31℃']
['资阳', '28℃']
['讷河', '9℃']
['岳阳', '26℃']
['南长', '23℃']
['通化', '10℃']
['叶县', '13℃']
['金家庄', '25℃']
['静宁', '12℃']
['扎兰屯', '12℃']
['合水', '13℃']
['孝感', '23℃']
['宜春', '32℃']
['路南', '17℃']
['东洲', '11℃']
['吉林', '10℃']
['商城', '19℃']
['凤凰', '28℃']
['铜山', '18℃']
['顺城', '10℃']
['阿克塞', '15℃']
['青云谱', '31℃']
['江阴', '23℃']
['颍东', '17℃']
['古丈', '27℃']
['呼伦贝尔', '8℃']
['张家口桥西', '10℃']
['贵港', '31℃']
['宜兴', '24℃']
['光山', '19℃']
['大田', '27℃']
['都安瑶族', '31℃']
['余江', '33℃']
['弋江', '23℃']
['阿城', '10℃']
['下花园', '11℃']
['顺平', '17℃']
['门头沟', '17℃']
['宁晋', '17℃']
['朝阳', '13℃']
['古浪', '10℃']
['淮安', '17℃']
['准格尔', '10℃']
['承德', '12℃']
['剑河', '28℃']
['鲅鱼圈', '13℃']
['巴林右旗', '12℃']
['南川', '22℃']
['扶沟', '15℃']
['长岭', '12℃']
['赛罕', '10℃']
['厦门', '31℃']
['魏都', '13℃']
['阜新蒙古族', '10℃']
['皋兰', '13℃']
['连山', '14℃']
['浦城', '31℃']
['八公山', '19℃']
['汉川', '26℃']
['东河', '13℃']
['宁城', '10℃']
['巴东', '24℃']
['北戴河', '15℃']
['滨海', '19℃']
['阜南', '17℃']
['玛曲', '7℃']
['花溪', '23℃']
['肥西', '25℃']
['鱼峰', '30℃']
['綦江', '22℃']
['隆林各族', '27℃']
['盐山', '17℃']
['五指山', '30℃']
['卫东', '13℃']
['沈河', '11℃']
['淮阴', '16℃']
['鞍山', '12℃']
['旅顺', '14℃']
['张家川', '13℃']
['罗城', '30℃']
['芷江', '27℃']
['张北', '6℃']
['宁乡', '27℃']
['石柱', '24℃']
['祁门', '29℃']
['哈尔滨', '11℃']
['站前', '13℃']
['寿宁', '26℃']
['西沙', '31℃']
['饶平', '31℃']
['津市', '27℃']
['东安', '32℃']
['宏伟', '12℃']
['石家庄桥东', '16℃']
['内黄', '15℃']
['淮阳', '16℃']
['隆尧', '17℃']
['兴隆', '13℃']
['南丹', '16℃']
['铁东', '12℃']
['永年', '16℃']
['南海', '30℃']
['靖西', '27℃']
['宁河', '14℃']
['望谟', '25℃']
['台前', '16℃']
['额济纳', '11℃']
['融安', '16℃']
['穆棱', '9℃']
['大厂', '16℃']
['永昌', '10℃']
['监利', '26℃']
['沅陵', '25℃']
['雨山', '26℃']
['西峡', '16℃']
['杞县', '15℃']
['赤峰', '11℃']
['平桂', '30℃']
['罗源', '29℃']
['驿城', '14℃']
['丰泽', '33℃']
['铁锋', '13℃']
['中站', '16℃']
['二七', '14℃']
['金湖', '18℃']
['恩平', '31℃']
['平远', '31℃']
['灵台', '16℃']
['芦淞', '29℃']
